date,title,amount
2026-06-05,99Food - NuPay,"64,57"
2026-06-05,Hobby Lanches,"105,00"
2026-06-05,Ebn *Playstation - Parcela 1/4,"87,49"
2026-06-05,Magazine Torra Torra - Parcela 1/2,"224,98"
2026-06-05,Bar do Chagas,"16,00"
2026-06-05,Bar do Chagas,"16,00"
2026-06-05,Moraesfreiredrinks,"30,00"
2026-06-05,Shop Continental,"150,00"
2026-06-05,Mp *Quintaldokari,"36,00"
2026-06-05,Anthropic,"106,60"
2026-06-04,Bevicoca Pizzaria e Es,"152,30"
2026-06-04,Pirueta Comercial,"82,93"
2026-06-03,Pagamento recebido,"- 4.483,13"
2026-06-03,Pix no Crédito - LFC SERVICOS E NEGOCIOS LTDA - 2/3,"251,59"
