date,title,amount
2026-06-21,Padaria Filo,"89,02"
2026-06-21,Uber Uber *Trip Help.U,"30,95"
2026-06-21,Drogaria Sao Paulo,"27,18"
2026-06-21,Zig *Inacio Espetin,"354,94"
2026-06-21,Pastel do Ze Ii,"37,00"
2026-06-21,Uber Uber * Pending,"37,97"
2026-06-21,Apple.Com/Bill,"5,90"
2026-06-20,Cia Gastronomia,"48,00"
2026-06-20,Pastelaria Japa,"13,00"
2026-06-20,Pastelaria Japa,"37,00"
2026-06-19,Skinaode,"13,50"
2026-06-19,Brasilpark Power Cente,"16,00"
2026-06-19,Politecnica,"19,99"
2026-06-18,Restaurante Continenta,"46,90"
2026-06-17,Padaria Trilha dos Pae,"52,67"
2026-06-17,Ebanx_sendinblue,"136,00"
2026-06-17,Ifd*Bete Pizzas Comerc,"50,99"
2026-06-17,Pdv*Distribuidora S F,"44,95"
2026-06-17,Autopostocentro,"50,19"
2026-06-16,Nova Rio D Ouro,"16,90"
2026-06-16,Seu Candido Burguer e,"39,23"
2026-06-15,Karina Akemi Kamiya,"12,00"
2026-06-15,Reidasofertas,"1,49"
2026-06-15,Homer Bebidas Sp,"15,00"
2026-06-15,Homer Bebidas Sp,"25,00"
2026-06-14,Hirota Innova Blue,"43,77"
2026-06-14,Mp *Quintaldokari,"15,00"
2026-06-13,O do Borogodo,"22,00"
2026-06-13,Bar e Tabacaria dos Gr,"63,00"
2026-06-13,R H de Carvalho Bar e,"17,00"
2026-06-13,Dohachi Sushi,"110,30"
2026-06-13,Mp *Quintaldokari,"18,00"
2026-06-13,Auto Posto S F,"111,99"
2026-06-13,Silva e Godoi Chocola,"10,90"
2026-06-13,O do Borogodo,"35,00"
2026-06-13,Mp *Quintaldokari,"18,00"
2026-06-13,O do Borogodo,"22,00"
2026-06-12,53142075fabio,"45,00"
2026-06-12,Mareva Sport,"50,00"
2026-06-12,Mp *Quintaldokari,"15,00"
2026-06-12,Hirota Innova Blue,"21,38"
2026-06-11,Fabiola Moreira Garigl,"53,79"
2026-06-11,Bevicoca Pizzaria e Es,"72,90"
2026-06-10,Estorno de compra (Airbnb),"- 789,28"
2026-06-10,Padaria Belas Artes,"25,05"
2026-06-10,Airbnb * Hmzc83e2bn - Parcela 1/2,"789,28"
2026-06-10,A Padoca,"18,88"
2026-06-10,D Park,"12,00"
2026-06-10,Cafeteria e Mays,"7,90"
2026-06-09,Hirota Innova Blue,"32,37"
2026-06-09,Emporio Sao Francisco,"109,14"
2026-06-09,Restaurante Continenta,"36,90"
2026-06-08,NuTag*ERE8D87,"3,99"
2026-06-08,NuTag*ERE8D87,"3,99"
2026-06-08,NuTag*ERE8D87,"35,00"
2026-06-08,Camarada Administracao,"124,75"
2026-06-08,Claubert Kumiyoshi,"44,00"
2026-06-08,Carloseugenio,"12,00"
2026-06-08,Mp *Astrogildoalv,"27,00"
2026-06-08,A Posto Horizonte Azul,"100,00"
2026-06-07,Casa Brasa Assados,"39,90"
2026-06-07,Ascona Kids Continenta,"59,99"
2026-06-07,Pirueta Comercial,"79,39"
2026-06-07,Ebn *Playstation,"39,95"
2026-06-07,Prudential D*Apol00200,"417,30"
2026-06-06,IOF de volta de Anthropic,"- 3,71"
2026-06-06,IOF de compra internacional,"3,71"
2026-06-06,Anthropic,"106,08"
2026-06-06,Shop Continental,"150,00"
2026-06-06,Mp *Quintaldokari,"36,00"
2026-06-05,99Food - NuPay,"64,57"
2026-06-05,Bar do Chagas,"16,00"
2026-06-05,Bar do Chagas,"16,00"
2026-06-05,Moraesfreiredrinks,"30,00"
2026-06-05,Hobby Lanches,"105,00"
2026-06-05,Ebn *Playstation - Parcela 1/4,"87,49"
2026-06-05,Magazine Torra Torra - Parcela 1/2,"224,98"
2026-06-04,Bevicoca Pizzaria e Es,"152,30"
2026-06-04,Pirueta Comercial,"82,93"
2026-06-03,Pagamento recebido,"- 4.483,13"
2026-06-03,Pix no Crédito - LFC SERVICOS E NEGOCIOS LTDA - 2/3,"251,59"
